                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.86314,                0.37724,                0.95836,                0.97649,                0.99057,                0.99174,                0.74427,                0.91744,                0.33208,                0.99307,               0.008911,               0.008911,               0.008911
                     57,                0.85887,                0.37347,                0.95764,                0.96658,                0.98717,                0.99061,                0.74561,                0.91079,                0.33277,                0.98625,              0.0088912,              0.0088912,              0.0088912
                     58,                 0.8557,                0.37429,                0.95136,                0.97359,                0.98525,                0.98978,                0.74672,                0.91211,                0.32593,                0.97973,              0.0088714,              0.0088714,              0.0088714
                     59,                0.86164,                0.37507,                0.95143,                0.97099,                 0.9863,                0.98927,                0.74383,                0.91567,                0.33224,                0.97838,              0.0088516,              0.0088516,              0.0088516
                     60,                0.85449,                0.37121,                0.94808,                0.97031,                 0.9906,                0.98959,                0.74304,                0.91526,                  0.326,                0.98065,              0.0088318,              0.0088318,              0.0088318
                     61,                0.85235,                0.37066,                0.95216,                0.96829,                0.98648,                 0.9896,                0.74122,                0.91699,                 0.3268,                0.97809,               0.008812,               0.008812,               0.008812
                     62,                0.85202,                0.37083,                0.95063,                0.97465,                0.98782,                0.99133,                0.74678,                0.91299,                0.32589,                0.98707,              0.0087922,              0.0087922,              0.0087922
                     63,                0.85718,                0.37431,                0.95653,                0.97118,                0.98861,                0.99043,                0.74512,                0.91778,                0.33064,                0.98428,              0.0087724,              0.0087724,              0.0087724
                     64,                0.84621,                0.36731,                0.94642,                0.97056,                0.98567,                0.98944,                 0.7479,                0.91745,                0.32729,                0.98047,              0.0087526,              0.0087526,              0.0087526
                     65,                0.84853,                0.36523,                0.94838,                0.97544,                0.98968,                0.98955,                0.74222,                0.92108,                0.32439,                0.98768,              0.0087328,              0.0087328,              0.0087328
                     66,                0.84911,                0.36887,                0.94709,                0.97295,                0.98757,                0.98994,                0.74385,                0.91704,                0.32983,                0.97454,               0.008713,               0.008713,               0.008713
                     67,                0.84361,                 0.3667,                0.94573,                0.97172,                0.98802,                0.98746,                0.74294,                0.91417,                 0.3257,                0.98014,              0.0086932,              0.0086932,              0.0086932
                     68,                0.84206,                0.36428,                0.94803,                0.97082,                0.98715,                0.99074,                0.74452,                0.91932,                0.32724,                 0.9737,              0.0086734,              0.0086734,              0.0086734
                     69,                0.84796,                0.36509,                0.94159,                0.97467,                 0.9872,                0.98941,                0.74558,                0.91249,                0.32212,                 0.9773,              0.0086536,              0.0086536,              0.0086536
                     70,                0.84127,                0.36286,                0.94725,                0.97219,                0.98522,                 0.9901,                 0.7455,                0.91186,                0.32304,                0.97873,              0.0086338,              0.0086338,              0.0086338
                     71,                0.83497,                0.36134,                0.94252,                0.96992,                0.98766,                0.99031,                0.74925,                0.90697,                0.32178,                0.97488,               0.008614,               0.008614,               0.008614
                     72,                0.83443,                0.36178,                0.94829,                0.97887,                 0.9865,                0.99002,                0.74473,                0.91287,                0.32077,                0.98732,              0.0085942,              0.0085942,              0.0085942
                     73,                0.83508,                0.36253,                0.94883,                 0.9704,                0.98737,                0.99002,                0.74464,                 0.9232,                0.32553,                0.99233,              0.0085744,              0.0085744,              0.0085744
                     74,                0.82602,                0.35796,                0.94576,                0.97595,                0.98247,                0.99034,                 0.7458,                0.92147,                0.31933,                0.98554,              0.0085546,              0.0085546,              0.0085546
                     75,                 0.8248,                0.35377,                0.94182,                0.96818,                0.99011,                0.98993,                0.74214,                0.92371,                0.32175,                 0.9841,              0.0085348,              0.0085348,              0.0085348
                     76,                0.82057,                0.35335,                0.93769,                0.97091,                0.98921,                0.99024,                0.74188,                 0.9251,                 0.3201,                0.98147,               0.008515,               0.008515,               0.008515
